日期,淨值
2020/03/23,8.4900
2020/03/20,8.5100
2020/03/19,8.7000
2020/03/18,8.5100
2020/03/17,8.9100
2020/03/16,8.4200
2020/03/13,9.2600
2020/03/12,8.7600
2020/03/11,9.5000
2020/03/10,9.9300
2020/03/09,9.5900
2020/03/06,10.2200
2020/03/05,10.4300
2020/03/04,10.5500
2020/03/03,10.2700
2020/03/02,10.4900
2020/02/27,10.2900
2020/02/26,10.6200
2020/02/25,10.6800
2020/02/24,10.8900
2020/02/21,11.1400
2020/02/20,11.2700
2020/02/19,11.3000
2020/02/18,11.2000
2020/02/14,11.2500
2020/02/13,11.2300
2020/02/12,11.2900
2020/02/11,11.1700
2020/02/10,11.0100
2020/02/07,10.9800
2020/02/06,11.0300
2020/02/05,10.9800
2020/02/04,10.9600
2020/02/03,10.7500
2020/01/31,10.6700
2020/01/30,10.8100
2020/01/22,11.0700
2020/01/21,11.0100
2020/01/17,11.0000
2020/01/16,10.9900
2020/01/15,10.8800
2020/01/14,10.9200
2020/01/13,10.9300
2020/01/10,10.8300
2020/01/09,10.8400
2020/01/08,10.7700
2020/01/07,10.7400
2020/01/06,10.7100
2020/01/03,10.6900
2020/01/02,10.7800
2019/12/31,10.5900
2019/12/30,10.5900
2019/12/27,10.6700
2019/12/24,10.5900
2019/12/23,10.5700
2019/12/20,10.5500
2019/12/19,10.5200
2019/12/18,10.4900
2019/12/17,10.4600
2019/12/16,10.4400
2019/12/13,10.4000
2019/12/12,10.3700
2019/12/11,10.2200
2019/12/10,10.1500
2019/12/09,10.1500
2019/12/06,10.2100
2019/12/05,10.1400
2019/12/04,10.1300
2019/12/03,10.1500
2019/12/02,10.1800
2019/11/29,10.2700
2019/11/27,10.3300
2019/11/26,10.2600
2019/11/25,10.2400
2019/11/22,10.1500
2019/11/21,10.1300
2019/11/20,10.2000
2019/11/19,10.2600
2019/11/18,10.2300
2019/11/15,10.2500
2019/11/14,10.1500
2019/11/13,10.2000
2019/11/12,10.1900
2019/11/11,10.1300
2019/11/08,10.1700
2019/11/07,10.1300
2019/11/06,10.1200
2019/11/05,10.1800
2019/11/04,10.1600
2019/11/01,10.1300
2019/10/31,9.9900
2019/10/30,9.9600
2019/10/29,9.9000
2019/10/28,9.9400
2019/10/25,9.8500
2019/10/24,9.8000
2019/10/23,9.7700
2019/10/22,9.7800
2019/10/21,9.8500
2019/10/18,9.8100
2019/10/17,9.9100
2019/10/16,9.8500
2019/10/15,9.9000
2019/10/14,9.8000
2019/10/08,9.6600
2019/10/07,9.8200
2019/10/03,9.7600
2019/10/02,9.6600
2019/10/01,9.7500
2019/09/27,9.7900
2019/09/26,9.9300
2019/09/25,9.9700
2019/09/24,9.8900
2019/09/23,10.0200
2019/09/20,10.0200
2019/09/19,10.0600
2019/09/18,10.0700
2019/09/17,10.0800
2019/09/16,10.0400
2019/09/11,10.0900
2019/09/10,10.0300
2019/09/09,10.0700
2019/09/06,10.1400
2019/09/05,10.1400
2019/09/04,9.9900
2019/09/03,9.8500
2019/08/30,9.9500
2019/08/29,9.9500
2019/08/28,9.8300
2019/08/27,9.8400
2019/08/23,9.8100
2019/08/22,9.9900
2019/08/21,10.0000
2019/08/20,9.9300
2019/08/19,9.9400
2019/08/16,9.8400
2019/08/15,9.7600
2019/08/14,9.8000
2019/08/13,10.0200
2019/08/12,9.8800
2019/08/07,9.8800
2019/08/06,9.8700
2019/08/05,9.8100
2019/08/02,9.9200
2019/08/01,9.9800
2019/07/31,9.9900
2019/07/30,10.0600
2019/07/29,10.0500
2019/07/26,10.0700
2019/07/25,10.0500
2019/07/24,10.1000
2019/07/23,10.0600
2019/07/22,10.0200
2019/07/19,10.0000
2019/07/18,10.0000
2019/07/17,10.0200
2019/07/16,10.0300
2019/07/15,10.0500
2019/07/12,10.0600
2019/07/11,10.0300
2019/07/10,10.0500
2019/07/09,10.0500
2019/07/05,10.0300
2019/07/03,10.0400
2019/07/02,10.0200
2019/07/01,9.9900
2019/06/28,10.0000
2019/06/27,10.0000
